,Groundtruth,Predict
0,7.170000076,4.370845795
1,6.020000458,4.313951015
2,6.490000725,3.980229378
3,7.18999958,4.010856152
4,16.70000076,6.991140366
5,20.79000282,7.193882942
6,13.34000015,8.630264282
7,23.33100128,13.4930706
8,23.33100128,12.90891075
9,18.03000069,7.975594521
10,9,4.981321335
11,13.06000042,5.717074394
12,10.21000004,5.221216202
13,9.539999962,5.185002327
14,5.119999886,3.82135272
15,4.289999962,4.025518417
16,5.870000839,4.278276443
17,5.31000042,4.679023743
18,3.830000401,4.411491394
19,6.760000229,4.730597496
20,6.86000061,5.160090446
21,5.039999962,4.58894062
22,5.890000343,4.170751095
23,7.369999886,4.263406754
24,6.539999962,3.834434986
25,6.850000381,4.105708599
26,4.590000153,4.205818653
27,5.430000305,4.494091034
28,5.409999847,4.519123554
29,6.850000381,4.790122032
30,13.43000031,6.697155952
31,12.3399992,6.429924011
32,16.55000114,7.423171043
33,14.83000088,6.417081833
34,7.949999809,4.974819183
35,11.94999981,6.18096447
36,9.179999352,3.773752213
37,10.23999977,5.922816277
38,10.42000008,4.720957756
39,5.43999958,4.674589157
40,7.019999504,4.74958992
41,6.809999466,4.747859001
42,14.77000046,5.619880676
43,23.33100128,7.682219505
44,23.33100128,6.97501564
45,17.18000221,7.765831947
46,16.75000191,8.772431374
47,7.670000076,4.426083565
48,10.65999985,5.011507034
49,7.050000191,3.941798925
50,5.36000061,4.319453716
51,6.819999695,4.608818054
52,7.699999809,5.189333916
53,15.79000092,6.445818901
54,15.70000076,4.326987267
55,14.27000046,4.937656403
56,16.61000252,6.329849243
57,7.420000076,4.358537197
58,23.33100128,10.34814644
59,23.33100128,9.502518654
60,23.33100128,9.228369713
61,23.33100128,9.769893646
62,16.27000046,9.804574013
63,21.0700016,10.77213955
64,18.01000023,6.860145569
65,23.33100128,10.1463747
66,19.20000076,11.50117397
67,8.789999962,5.718279839
68,10.73999977,7.001839638
69,23.33100128,9.30725956
70,23.33100128,9.302128792
71,23.33100128,10.36562538
72,13.67999935,5.078390121
73,8.809999466,6.456595421
74,7.099999428,4.482250214
75,4.840000153,4.37518549
76,4.519999981,4.285606384
77,5.070000648,4.222397804
78,6.729999542,4.546616554
79,15.85000134,6.621255875
80,19.43000031,5.600566864
81,16.72000122,5.97953701
82,16.18000031,8.795983315
83,9.300000191,6.699462891
84,13,6.469528198
85,7.369999886,4.864685059
86,7.019999504,4.741398811
87,9.93999958,5.364891052
88,6.590000153,4.842335701
89,9.659999847,5.801192284
90,19.43000031,10.39932728
91,13.96000099,8.466114998
92,18.94000053,9.076122284
93,20.11000061,8.313405991
94,7.949999809,6.12411499
95,11.52000046,4.946821213
96,12.40999985,5.116547585
97,10.19000053,4.977127075
98,10.78999996,6.512269974
99,7.470000267,5.611636162
100,15.2699995,6.855572701
101,7.180000305,5.375425339
102,7.380000114,4.255921364
103,9.469999313,3.829716921
104,7.430000305,4.433664322
105,7.910000801,4.119244099
106,11.90999985,4.248402596
107,9.170000076,4.434358597
108,5.590000153,4.289761543
109,9.369999886,4.20626545
110,8.350000381,4.362215042
111,6.86000061,4.630827904
112,7.220000267,5.018349648
113,10.42000008,5.450084686
114,12.40999985,7.731510162
115,14.09000015,8.617251396
116,15.4100008,11.09580326
117,12.18000031,10.81822968
118,13.03999996,9.186332703
119,13.14000034,9.461065292
120,8.680000305,9.873962402
121,22.02000046,10.33670139
122,12.56000042,7.012888908
123,5.220000267,4.748896599
124,9.199999809,5.126820564
125,10.81999969,5.261235237
126,12.86999989,5.998661995
127,6.340000153,4.719974518
128,7.960000038,4.57456398
129,7.039999962,4.714622498
130,5.949999809,4.041859627
131,6.409999847,4.408430576
132,6.290000916,4.054150581
133,5.640000343,4.26013422
134,7.199999809,4.545467377
135,11.38000011,5.647249222
136,16.70000076,8.066015244
137,13.52999973,8.725207329
138,13.27999973,6.791872978
139,7.940000534,5.704319954
140,6.130000114,4.409144402
141,9.669999123,5.410491943
142,7.18999958,5.048057556
143,9.609999657,6.366110802
144,17.47000122,10.41695023
145,13.03999996,8.340519905
146,5.640000343,5.906993866
147,9.329999924,8.815384865
148,10.51000023,8.123420715
149,7.850000381,7.932154655
150,7.289999962,6.252321243
151,11.02999973,5.616015434
152,7.520000458,4.728746414
153,6.079999924,4.742666245
154,5.260000229,4.748583794
155,4.989999771,4.405878067
156,8.539999962,5.817939758
157,12,5.225287437
158,9.699999809,4.511263847
159,7.840000153,4.261500359
160,3.439999819,4.11678791
161,7.230000496,4.40818882
162,8.660000801,5.636257172
163,6.259999275,4.809305191
164,6.739999771,4.069636822
165,5.030000687,4.104460716
166,5.630000114,3.950110197
167,5.400000572,4.810411453
168,7.460000038,4.619159698
169,5.829999924,4.113210678
