,Groundtruth,Predict
0,5.36000061,4.81970787
1,7.670000076,4.730887413
2,5.760000229,4.304499626
3,4.989999771,4.691214561
4,14.77000046,8.480297089
5,10.31000042,9.784223557
6,10.06999969,9.697660446
7,23.33100128,15.16157913
8,23.33100128,14.61919117
9,11.01000023,9.668462753
10,6.490000725,5.951213837
11,7.130000114,7.334227562
12,8.160000801,5.951581001
13,7.340000153,5.798944473
14,4.550000191,4.261128426
15,5.289999962,4.186588764
16,5.070000648,4.82609272
17,6.170000076,5.020111084
18,5.010000229,4.56678772
19,5.890000343,5.488386154
20,6.720000267,5.613589287
21,5.099999428,5.147680283
22,5.279999733,4.68917942
23,5.920000076,5.005058289
24,4.519999981,4.221899986
25,3.510000229,4.512945175
26,4.909999847,4.50963974
27,5.980000496,4.909529686
28,5.039999962,5.085921288
29,7.690000534,5.253851891
30,9.619999886,7.996437073
31,11.60999966,7.904424667
32,16.96000099,8.548547745
33,12.51000023,7.148792267
34,6.950000763,4.683235168
35,7.659999847,6.988722801
36,4.75,4.536757469
37,9.069999695,6.714665413
38,5.130000114,6.122986794
39,5.730000496,4.974458694
40,7.140000343,5.153542519
41,5.640000343,5.04368782
42,7.38999939,7.047307968
43,6.36000061,9.8452034
44,9.659999847,9.195428848
45,15.34000015,9.866627693
46,21.34000015,10.02338409
47,9.789999962,4.429841042
48,10.46000004,5.628297806
49,5.400000572,4.563481331
50,5.740000725,4.715669632
51,5.510000229,4.98370266
52,7.589999199,5.505288124
53,8.470000267,7.386835098
54,6.099999428,5.920133591
55,6.86000061,5.813349724
56,10.13000011,8.195320129
57,5.450000763,4.36909008
58,8.579999924,12.79833221
59,23.33100128,12.38597012
60,23.33100128,12.02466583
61,23.33100128,12.17399025
62,16,10.77367592
63,16.69000053,11.85894108
64,12.18000031,8.438170433
65,23.33100128,12.55838299
66,23.33100128,10.76963234
67,14.28999996,5.830747604
68,23.33100128,6.782313347
69,23.33100128,11.86572838
70,20.83000183,12.02624035
71,19.41000175,13.11642361
72,5.980000496,7.082185745
73,9.31000042,7.086434364
74,5.579999924,4.89348793
75,5.050000191,4.696965218
76,4.56000042,4.446928978
77,4.949999809,4.466226578
78,5.680000305,5.194724083
79,8.529999733,8.050361633
80,6.580000877,7.98890686
81,7.550000191,8.051208496
82,23.33100128,10.17280293
83,21.52000046,6.977367401
84,10.10000038,7.751145363
85,5.880000114,5.730350494
86,6.539999962,5.24579525
87,6.980000496,6.203219414
88,6.409999847,5.220641136
89,7.970000267,7.177618027
90,20.43000221,12.2789278
91,17.65000153,9.810945511
92,17.54000092,11.73761654
93,20.14999962,10.36264133
94,9.630000114,6.114849091
95,5.400000572,5.69543457
96,5.800000191,6.740162849
97,6.090000153,5.930476189
98,14.57999992,6.915013313
99,9.479999542,5.626754761
100,7.340000153,7.886929512
101,8.200000763,5.604932785
102,7.800000191,4.399271965
103,4.56000042,4.343559265
104,4.970000267,4.804534912
105,4.410000324,4.629385948
106,4.859999657,5.14607048
107,5.809999466,5.150216103
108,5.090000153,4.635089874
109,5.470000267,4.977416992
110,5.420000076,5.306995392
111,6.170000076,5.011880875
112,5.350000381,5.62561512
113,6.829999924,6.758132935
114,15.55000019,8.773033142
115,16.94000053,10.39019966
116,19.17000008,12.84287357
117,13.06999969,11.31489086
118,10.48999977,9.887850761
119,14.97999954,9.932321548
120,13.52999973,9.979056358
121,16.86000061,12.182621
122,15.23999977,7.571041107
123,8.800000191,4.830939293
124,5.670000076,5.960201263
125,8.649999619,6.144515038
126,8.68999958,7.457749367
127,4.590000153,5.13025856
128,5.829999924,5.183119774
129,5.980000496,5.160944939
130,5.279999733,4.376849174
131,4.299999714,4.762487411
132,4.190000057,4.258538723
133,5.289999962,4.542212486
134,7.81000042,4.962601662
135,12.6600008,6.471533775
136,16.5,9.11802578
137,23.33100128,9.136436462
138,17.43000031,7.279538155
139,9.260000229,5.605331421
140,5.149999619,4.624885559
141,7.140000343,5.802378654
142,7.070000648,5.19330883
143,13.93999958,6.474632263
144,22.10000038,11.20010662
145,23.33100128,8.404953957
146,15.52999973,5.758267403
147,14.53000069,8.430583
148,10.86999989,8.0576334
149,23.33100128,7.45588398
150,13.88000011,6.527259827
151,9.819999695,6.053489685
